Date,Price,Open,High,Low,Change %
13-Jan-20,6.8938,6.9119,6.9145,6.8883,-0.37%
10-Jan-20,6.9192,6.9318,6.9398,6.917,-0.18%
9-Jan-20,6.9318,6.9319,6.9362,6.921,-0.21%
8-Jan-20,6.9462,6.9543,6.9556,6.9373,0.01%
7-Jan-20,6.9452,6.9679,6.9711,6.929,-0.44%
6-Jan-20,6.976,6.9686,6.9797,6.9683,0.15%
3-Jan-20,6.9655,6.9616,6.9759,6.9616,0.02%
2-Jan-20,6.9643,6.9597,6.9741,6.9569,0.02%
1-Jan-20,6.9632,6.9632,6.9657,6.9632,0.00%
31-Dec-19,6.9632,6.9832,6.987,6.9556,-0.34%
30-Dec-19,6.9867,6.9958,6.9958,6.9783,-0.13%
27-Dec-19,6.9958,6.9932,7.0015,6.9916,-0.01%
26-Dec-19,6.9965,6.9891,7.0069,6.988,0.10%
25-Dec-19,6.9894,7.0064,7.0064,6.9788,-0.26%
24-Dec-19,7.0075,7.0131,7.0151,7.0031,-0.07%
23-Dec-19,7.0127,7.0073,7.0142,7.0062,0.08%
20-Dec-19,7.0068,7.0102,7.016,7.003,-0.05%
19-Dec-19,7.0104,7.0006,7.0106,6.9971,0.08%
18-Dec-19,7.005,7.0019,7.0129,6.9958,0.11%
17-Dec-19,6.9972,6.9954,7.003,6.991,0.05%
16-Dec-19,6.9935,6.9996,7.0084,6.993,0.06%
13-Dec-19,6.9895,6.9641,7.0022,6.9636,0.07%
12-Dec-19,6.9849,7.0339,7.0408,6.9839,-0.77%
11-Dec-19,7.0388,7.0354,7.0408,7.0335,0.07%
10-Dec-19,7.0342,7.0392,7.0426,7.0313,-0.07%
9-Dec-19,7.0393,7.0334,7.0434,7.0297,0.06%
6-Dec-19,7.035,7.0415,7.0499,7.0263,-0.14%
5-Dec-19,7.0448,7.0503,7.0569,7.0352,-0.07%
4-Dec-19,7.0499,7.0619,7.0744,7.0469,-0.16%
3-Dec-19,7.0613,7.0407,7.0614,7.0362,0.31%
2-Dec-19,7.0393,7.0268,7.0459,7.0266,0.10%
29-Nov-19,7.0324,7.0327,7.037,7.0191,-0.04%
28-Nov-19,7.0354,7.0294,7.0357,7.0254,0.09%
27-Nov-19,7.029,7.0245,7.0319,7.0177,-0.06%
26-Nov-19,7.0335,7.0289,7.043,7.0259,-0.04%
25-Nov-19,7.0363,7.0404,7.0404,7.0315,-0.05%
22-Nov-19,7.04,7.0262,7.0428,7.0249,0.15%
21-Nov-19,7.0293,7.0351,7.0451,7.0259,-0.09%
20-Nov-19,7.0359,7.0317,7.0394,7.0279,0.12%
19-Nov-19,7.0276,7.0259,7.0303,7.0202,0.02%
18-Nov-19,7.026,7.0089,7.0268,7.0089,0.25%
15-Nov-19,7.0083,7.0201,7.0201,6.9992,-0.18%
14-Nov-19,7.0208,7.024,7.0252,7.0143,-0.04%
13-Nov-19,7.0235,7.0076,7.0273,7.0076,0.22%
12-Nov-19,7.0079,7.0111,7.0111,6.9962,-0.04%
11-Nov-19,7.0106,6.9962,7.0122,6.9917,0.21%
8-Nov-19,6.9961,6.9691,6.9967,6.9676,0.25%
7-Nov-19,6.9784,6.9985,7.0208,6.9689,-0.28%
6-Nov-19,6.9981,6.997,7.0052,6.9909,-0.17%
5-Nov-19,7.0097,7.0296,7.0316,6.9891,-0.29%
4-Nov-19,7.0304,7.0328,7.0343,7.0225,-0.10%
1-Nov-19,7.0375,7.0387,7.0495,7.0347,-0.03%
31-Oct-19,7.0395,7.0447,7.0507,7.0324,-0.22%
30-Oct-19,7.0553,7.0652,7.0682,7.054,-0.15%
29-Oct-19,7.0658,7.0672,7.0672,7.0526,-0.03%
28-Oct-19,7.0678,7.0655,7.0693,7.0525,0.04%
25-Oct-19,7.0653,7.0697,7.0766,7.0624,-0.05%
24-Oct-19,7.069,7.0664,7.0732,7.056,0.05%
23-Oct-19,7.0656,7.0786,7.0895,7.0655,-0.16%
22-Oct-19,7.0769,7.0756,7.084,7.0705,0.01%
21-Oct-19,7.0762,7.0819,7.0819,7.0662,-0.08%
18-Oct-19,7.0817,7.0742,7.0885,7.0668,0.06%
17-Oct-19,7.0774,7.0959,7.1016,7.0643,-0.23%
16-Oct-19,7.0935,7.0965,7.1045,7.0896,0.17%
15-Oct-19,7.0818,7.0663,7.0834,7.0629,0.20%
14-Oct-19,7.0675,7.0908,7.091,7.0505,-0.29%
11-Oct-19,7.088,7.1155,7.1155,7.0872,-0.40%
10-Oct-19,7.1162,7.1314,7.1314,7.1024,-0.23%
9-Oct-19,7.1324,7.143,7.1523,7.119,-0.17%
8-Oct-19,7.1444,7.1324,7.1503,7.1214,-0.05%
7-Oct-19,7.1483,7.1483,7.1483,7.1483,0.00%
4-Oct-19,7.1483,7.1483,7.1483,7.1483,0.00%
3-Oct-19,7.1483,7.1483,7.1483,7.1483,0.00%
2-Oct-19,7.1483,7.1483,7.1483,7.1483,0.00%
1-Oct-19,7.1483,7.1483,7.1483,7.1483,0.00%
30-Sep-19,7.1483,7.1303,7.1483,7.1174,0.36%
27-Sep-19,7.1227,7.1315,7.1388,7.119,-0.14%
26-Sep-19,7.1326,7.129,7.1375,7.1243,0.01%
25-Sep-19,7.1318,7.1154,7.1344,7.1075,0.22%
24-Sep-19,7.1164,7.1184,7.1235,7.1039,-0.03%
23-Sep-19,7.1185,7.0908,7.13,7.0908,0.38%
20-Sep-19,7.0916,7.0958,7.098,7.0815,-0.07%
19-Sep-19,7.0965,7.0851,7.1052,7.0851,0.15%
18-Sep-19,7.086,7.09,7.0927,7.0839,-0.08%
17-Sep-19,7.0918,7.0672,7.0983,7.0672,0.35%
16-Sep-19,7.0674,7.0789,7.0789,7.0627,-0.17%
13-Sep-19,7.0794,7.0814,7.0814,7.0794,0.00%
12-Sep-19,7.0793,7.0977,7.103,7.0641,-0.53%
11-Sep-19,7.1167,7.1174,7.1238,7.1049,0.06%
10-Sep-19,7.1127,7.1211,7.1212,7.0976,-0.13%
9-Sep-19,7.122,7.1147,7.1357,7.1147,0.09%
6-Sep-19,7.1157,7.1461,7.1576,7.1126,-0.46%
5-Sep-19,7.1485,7.1426,7.1566,7.1235,0.03%
4-Sep-19,7.146,7.1819,7.1819,7.146,-0.46%
3-Sep-19,7.1789,7.1714,7.1847,7.1703,0.10%
2-Sep-19,7.1719,7.1547,7.1738,7.1547,0.21%
30-Aug-19,7.1568,7.1459,7.1575,7.1392,0.17%
29-Aug-19,7.1445,7.1634,7.1715,7.1382,-0.29%
28-Aug-19,7.1653,7.1618,7.1701,7.1551,0.04%
27-Aug-19,7.1623,7.1434,7.1708,7.1434,0.15%
26-Aug-19,7.1513,7.136,7.1535,7.1349,0.78%
23-Aug-19,7.096,7.0893,7.1018,7.0731,0.18%
22-Aug-19,7.0836,7.0601,7.094,7.0601,0.29%
21-Aug-19,7.0632,7.0594,7.0668,7.0499,0.04%
20-Aug-19,7.0605,7.0495,7.0686,7.0495,0.14%
19-Aug-19,7.0507,7.0386,7.0514,7.0381,0.11%
16-Aug-19,7.0428,7.0362,7.0472,7.0359,0.13%
15-Aug-19,7.034,7.0273,7.0433,7.0169,0.14%
14-Aug-19,7.0244,7.0205,7.0293,7.0104,-0.27%
13-Aug-19,7.0435,7.0587,7.0724,7.0434,-0.21%
12-Aug-19,7.0582,7.0603,7.0693,7.0537,-0.06%
9-Aug-19,7.0624,7.0438,7.0624,7.0438,0.25%
8-Aug-19,7.0451,7.0588,7.0588,7.0363,-0.21%
7-Aug-19,7.0602,7.0353,7.0643,7.0298,0.48%
6-Aug-19,7.0264,7.0508,7.0605,7.016,-0.35%
5-Aug-19,7.0508,7.0176,7.0564,7.015,1.59%
2-Aug-19,6.9405,6.8985,6.9504,6.8985,0.61%
1-Aug-19,6.8986,6.8837,6.9065,6.8837,0.21%
31-Jul-19,6.8841,6.8857,6.8888,6.8777,-0.01%
30-Jul-19,6.8845,6.8904,6.8933,6.8754,-0.13%
29-Jul-19,6.8934,6.8792,6.8958,6.8759,0.21%
26-Jul-19,6.8792,6.8707,6.8818,6.8707,0.10%
25-Jul-19,6.8726,6.8689,6.8777,6.8665,0.00%
24-Jul-19,6.8725,6.8794,6.884,6.8676,-0.10%
23-Jul-19,6.8792,6.8808,6.8846,6.8742,-0.03%
22-Jul-19,6.8811,6.882,6.8834,6.8754,-0.02%
19-Jul-19,6.8822,6.8773,6.8822,6.8712,0.03%
18-Jul-19,6.88,6.8712,6.8822,6.8712,0.09%
17-Jul-19,6.8736,6.8753,6.8835,6.872,-0.04%
16-Jul-19,6.8762,6.8778,6.8799,6.8707,-0.02%
15-Jul-19,6.8777,6.8804,6.883,6.87,-0.05%
12-Jul-19,6.8808,6.8694,6.882,6.8682,0.15%
11-Jul-19,6.8702,6.8724,6.8765,6.8587,-0.04%
10-Jul-19,6.8729,6.8863,6.8895,6.87,-0.22%
9-Jul-19,6.888,6.8879,6.8931,6.8806,0.09%
