Date,Price,Open,High,Low,Change %
13-Jan-20,0.8977,0.8996,0.8999,0.8971,-0.21%
12-Jan-20,0.8996,0.8992,0.8999,0.8992,0.04%
10-Jan-20,0.8992,0.9004,0.9022,0.8985,-0.13%
9-Jan-20,0.9004,0.9004,0.9015,0.8991,0.00%
8-Jan-20,0.9004,0.8966,0.9009,0.8954,0.44%
7-Jan-20,0.8965,0.8932,0.8982,0.8931,0.39%
6-Jan-20,0.893,0.8954,0.8964,0.8923,-0.32%
3-Jan-20,0.8959,0.895,0.8989,0.8944,0.10%
2-Jan-20,0.895,0.8918,0.8958,0.8907,0.35%
1-Jan-20,0.8919,0.892,0.8926,0.8911,0.00%
31-Dec-19,0.8919,0.8931,0.8931,0.8898,-0.12%
30-Dec-19,0.893,0.8949,0.8953,0.8911,-0.20%
27-Dec-19,0.8948,0.9012,0.9012,0.8939,-0.70%
26-Dec-19,0.9011,0.9018,0.9024,0.9002,-0.06%
25-Dec-19,0.9016,0.9018,0.9031,0.9002,-0.03%
24-Dec-19,0.9019,0.9018,0.9034,0.9013,0.00%
23-Dec-19,0.9019,0.9024,0.9034,0.9012,-0.08%
20-Dec-19,0.9026,0.8991,0.9037,0.8987,0.38%
19-Dec-19,0.8992,0.8999,0.9004,0.8973,-0.08%
18-Dec-19,0.8999,0.8969,0.9002,0.8964,0.33%
17-Dec-19,0.8969,0.8973,0.8985,0.8948,-0.04%
16-Dec-19,0.8973,0.8992,0.8992,0.8962,-0.21%
13-Dec-19,0.8992,0.8986,0.9001,0.8929,0.09%
12-Dec-19,0.8984,0.8984,0.9008,0.8965,0.00%
11-Dec-19,0.8984,0.9015,0.9034,0.8972,-0.34%
10-Dec-19,0.9015,0.9039,0.904,0.901,-0.27%
9-Dec-19,0.9039,0.9048,0.9048,0.9026,-0.03%
6-Dec-19,0.9042,0.9008,0.9059,0.9001,0.41%
5-Dec-19,0.9005,0.9024,0.9028,0.9002,-0.24%
4-Dec-19,0.9027,0.9025,0.9038,0.8996,0.06%
3-Dec-19,0.9022,0.9025,0.9039,0.9014,-0.04%
2-Dec-19,0.9026,0.908,0.909,0.9018,-0.56%
29-Nov-19,0.9077,0.9085,0.9108,0.9067,-0.07%
28-Nov-19,0.9083,0.9093,0.9093,0.9075,-0.10%
27-Nov-19,0.9092,0.9075,0.9098,0.907,0.20%
26-Nov-19,0.9074,0.908,0.9085,0.907,-0.07%
25-Nov-19,0.908,0.9071,0.9087,0.9063,0.10%
22-Nov-19,0.9071,0.9043,0.9081,0.9021,0.31%
21-Nov-19,0.9043,0.903,0.9048,0.9011,0.13%
20-Nov-19,0.9031,0.9027,0.9047,0.9023,0.06%
19-Nov-19,0.9026,0.9031,0.904,0.9021,-0.07%
18-Nov-19,0.9032,0.9048,0.9052,0.9018,-0.18%
15-Nov-19,0.9048,0.9072,0.9081,0.9044,-0.26%
14-Nov-19,0.9072,0.9086,0.9101,0.9069,-0.14%
13-Nov-19,0.9085,0.9084,0.9095,0.9074,0.02%
12-Nov-19,0.9083,0.9064,0.909,0.9059,0.21%
11-Nov-19,0.9064,0.9073,0.9078,0.9055,-0.11%
8-Nov-19,0.9074,0.9051,0.9079,0.9045,0.27%
7-Nov-19,0.905,0.9035,0.9062,0.9015,0.13%
6-Nov-19,0.9038,0.9029,0.9039,0.9013,0.09%
5-Nov-19,0.903,0.8985,0.9039,0.8975,0.49%
4-Nov-19,0.8986,0.896,0.8991,0.8949,0.35%
1-Nov-19,0.8955,0.8967,0.8988,0.8951,-0.13%
31-Oct-19,0.8967,0.8968,0.8985,0.8948,-0.02%
30-Oct-19,0.8969,0.9,0.9025,0.8966,-0.34%
29-Oct-19,0.9,0.901,0.9032,0.8993,-0.10%
28-Oct-19,0.9009,0.9024,0.903,0.9004,-0.18%
