,CNYEUR
2017-01-10,7.31
2017-01-11,7.2514
2017-01-12,7.33
2017-01-13,
2017-01-16,7.31
2017-01-17,7.32
2017-01-18,7.3185
2017-01-19,7.2753
2017-01-20,
2017-01-23,7.3571
2017-01-24,7.36
2017-01-25,7.38
2017-01-26,7.34
2017-01-27,
2017-01-30,7.36
2017-01-31,7.4
2017-02-01,7.38
2017-02-02,7.37
2017-02-03,
2017-02-06,7.3595
2017-02-07,7.3358
2017-02-08,7.3468
2017-02-09,7.3234
2017-02-10,
2017-02-13,7.2879
2017-02-14,7.2855
2017-02-15,7.2561
2017-02-16,7.3061
2017-02-17,
2017-02-20,7.3037
2017-02-21,7.2486
2017-02-22,7.222
2017-02-23,7.26
2017-02-24,
2017-02-27,7.29
2017-02-28,7.28
2017-03-01,7.25
2017-03-02,7.24
2017-03-03,
2017-03-06,7.29
2017-03-07,7.29
2017-03-08,7.28
2017-03-09,7.3
2017-03-10,
2017-03-13,7.3737
2017-03-14,7.3538
2017-03-15,7.3509
2017-03-16,7.3961
2017-03-17,
2017-03-20,7.4348
2017-03-21,7.4334
2017-03-22,7.437
2017-03-23,7.4218
2017-03-24,
2017-03-27,7.4687
2017-03-28,7.4689
2017-03-29,7.4109
2017-03-30,7.3877
2017-03-31,
2017-04-03,7.3385
2017-04-04,7.332
2017-04-05,7.3559
2017-04-06,7.3467
2017-04-07,
2017-04-10,7.3056
2017-04-11,7.32
2017-04-12,7.32
2017-04-13,7.3215
2017-04-14,
2017-04-17,7.3328
2017-04-18,7.3583
2017-04-19,7.3752
2017-04-20,7.4096
2017-04-21,
2017-04-24,7.4753
2017-04-25,7.524
2017-04-26,7.4934
2017-04-27,7.4915
2017-04-28,
2017-05-01,7.5204
2017-05-02,7.52
2017-05-03,7.5272
2017-05-04,7.56
2017-05-05,
2017-05-08,7.5413
2017-05-09,7.5
2017-05-10,7.5
2017-05-11,7.49
2017-05-12,
2017-05-15,7.5642
2017-05-16,7.61
2017-05-17,7.64
2017-05-18,7.64
2017-05-19,
2017-05-22,7.7305
2017-05-23,7.68
2017-05-24,7.6978
2017-05-25,7.69
2017-05-26,
2017-05-29,7.65
2018-05-02,7.6138
2018-05-03,7.5937
2018-05-04,
2018-05-07,7.5862
2018-05-08,7.5512
2018-05-09,7.5447
2018-05-10,7.551
2018-05-11,
2018-05-14,7.5557
2018-05-15,7.5473
2018-05-16,7.5218
2018-05-17,7.5057
2018-05-18,
2018-05-21,7.5219
2018-05-22,7.4972
2018-05-23,7.4715
2018-05-24,7.4717
2018-05-25,
2018-05-28,7.437
2018-05-29,7.4037
2018-05-30,7.4847
2018-05-31,7.4941
2018-06-01,
2018-06-04,7.49
2018-06-05,7.4761
2018-06-06,7.5149
2018-06-07,7.5548
2018-06-08,
2018-06-11,7.5557
2018-06-12,7.5473
2018-06-13,7.5301
2018-06-14,7.3999
2018-06-15,
2018-06-18,7.4776
2018-06-19,7.5088
2018-06-20,7.4925
2018-06-21,7.5284
2018-06-22,
2018-06-25,7.6484
2018-06-26,7.6583
2018-06-27,7.643
2018-06-28,7.6614
2018-06-29,
2018-07-02,7.7303
2018-07-03,7.7441
2018-07-04,7.7268
2018-07-05,7.7553
2018-07-06,
2018-07-09,7.77
2018-07-10,7.772
2018-07-11,7.809
2018-07-12,7.783
2018-07-13,
2018-07-16,7.8293
2018-07-17,7.815
2018-07-18,
2018-07-27,7.94212
2018-07-30,0.12537
2018-07-31,0.12549
2018-08-01,0.12571
2018-08-02,0.12613
2018-08-03,0.12645
2018-08-06,0.1263
2018-08-07,0.1262
2018-08-08,0.12598
2018-08-09,0.12712
2018-08-10,0.12796
2018-08-13,0.12712
2018-08-14,0.12752
2018-09-05,0.12586
2018-09-06,0.12586
2018-09-07,0.12644
2018-09-10,0.12579
2018-09-11,0.12539
2018-09-12,0.12535
2018-09-13,0.125
2018-09-14,0.12524
2018-09-17,0.12483
2018-09-18,0.12491
2018-09-19,0.12506
2018-09-20,0.12401
2018-09-21,0.1241
2018-09-24,0.12376
2018-09-25,0.12375
2018-09-26,0.12382
2018-09-27,0.12468
2018-09-28,0.12546
2018-10-01,0.12574
2018-10-02,0.12609
2018-10-03,0.12686
2018-10-04,0.12644
2018-10-05,0.12635
2018-10-08,0.12556
2018-10-09,0.12568
2018-10-10,0.12539
2018-10-11,0.12519
2018-10-12,0.12498
2018-10-15,0.12484
2018-10-16,0.125
2018-10-17,0.12552
2018-10-18,0.12581
2018-10-19,0.12527
2018-10-22,0.12554
2018-10-23,0.12565
2018-10-24,0.12641
