,CNYUSD
2017-04-11,0.14498
2017-04-12,0.14534
2017-04-13,0.14523
2017-04-14,0.14543
2017-04-17,0.14544
2017-04-18,0.14545
2017-04-19,0.14544
2017-04-20,0.14531
2017-04-21,0.14529
2017-04-24,0.1455
2017-04-25,0.14588
2017-04-26,0.14512
2017-04-27,0.14511
2017-04-28,0.14518
2017-05-01,0.14512
2017-05-02,0.14504
2017-05-03,0.14513
2017-05-04,0.14515
2017-05-05,0.14514
2017-05-08,0.14488
2017-05-09,0.14485
2017-05-10,0.14484
2017-05-11,0.14498
2017-05-12,0.14518
2017-05-15,0.14531
2017-05-16,0.14551
2017-05-17,0.14569
2017-05-18,0.1455
2017-05-19,0.14577
2017-05-22,0.14561
2017-05-23,0.14555
2017-05-24,0.14553
2017-05-25,0.1458
2017-05-26,0.14579
2017-05-29,0.14598
2017-05-30,0.146
2017-05-31,0.14655
2017-06-01,0.14707
2017-06-02,0.14698
2017-06-05,0.14726
2017-06-06,0.14741
2017-06-07,0.14738
2017-06-08,0.14717
2017-06-09,0.14721
2017-06-12,0.14716
2017-06-13,0.14719
2017-06-14,0.14731
2017-06-15,0.14687
2017-06-16,0.14709
2017-06-19,0.14693
2017-06-20,0.14681
2017-06-21,0.14665
2017-06-22,0.14658
2017-06-23,0.14662
2017-06-26,0.14643
2017-06-27,0.14693
2017-06-28,0.14701
2017-06-29,0.14739
2017-06-30,0.1478
2017-07-03,0.14736
2017-07-04,0.14719
2017-07-05,0.14731
2017-07-06,0.14728
2017-07-07,0.14725
2017-07-10,0.1472
2017-07-11,0.14734
2017-07-12,0.14754
2017-07-13,0.1475
2017-07-14,0.14788
2017-07-17,0.14805
2017-07-18,0.14827
2017-07-19,0.14824
2017-07-20,0.14811
2017-07-21,0.14831
2017-07-24,0.14843
2017-07-25,0.1482
2017-07-26,0.14827
2017-07-27,0.14848
2017-07-28,0.14858
2017-07-31,0.14878
2017-08-01,0.14878
2017-08-02,0.14888
2017-08-03,0.14883
2017-08-04,0.14877
2017-08-07,0.14883
2017-08-08,0.14918
2017-08-09,0.14976
2017-08-10,0.15025
2017-08-11,0.15012
2017-08-14,0.14996
2017-08-15,0.14983
2017-08-16,0.14978
2017-08-17,0.15001
2017-08-18,0.15
2017-08-21,0.15012
2017-08-22,0.1501
2017-08-23,0.15022
2017-08-24,0.15021
2017-08-25,0.15048
2017-08-28,0.15108
2017-08-29,0.15129
2017-08-30,0.1514
2017-08-31,0.15166
2017-09-01,0.15244
2017-09-04,0.15317
2017-09-05,0.15291
2017-09-06,0.15317
2017-09-07,0.15427
2017-09-08,0.15376
2017-09-11,0.15314
2017-09-12,0.15315
2017-09-13,0.15278
2017-09-14,0.1528
2017-09-15,0.15279
2017-09-18,0.15226
2017-09-19,0.15221
2017-09-20,0.15196
2017-09-21,0.15235
2017-09-22,0.15198
2017-09-25,0.15122
2017-09-26,0.15095
2017-09-27,0.15073
2017-09-28,0.15041
2017-09-29,0.15067
2017-10-02,0.15031
2017-10-03,0.15035
2017-10-04,0.15071
2017-10-05,0.15047
2017-10-06,0.15051
2017-10-09,0.15089
2017-10-10,0.15199
2017-10-11,0.1521
2017-10-12,0.15204
2017-10-13,0.15222
2017-10-16,0.15178
2017-10-17,0.1515
2017-10-18,0.15143
2017-10-19,0.1516
2017-10-20,0.15114
2017-10-23,0.1509
2017-10-24,0.15082
2017-10-25,0.15084
2017-10-26,0.15042
2017-10-27,0.15061
2017-10-30,0.15073
2017-10-31,0.15083
2017-11-01,0.15131
2017-11-02,0.1514
2017-11-03,0.15092
2017-11-06,0.15114
2017-11-07,0.15077
2017-11-08,0.15099
2017-11-09,0.15056
2017-11-10,0.15061
2017-11-13,0.15059
2017-11-14,0.15077
2017-11-15,0.15095
2017-11-16,0.15107
2017-11-17,0.15094
2017-11-20,0.15072
2017-11-21,0.15091
2017-11-22,0.15155
2017-11-23,0.1519
2017-11-24,0.15184
2017-11-27,0.15172
2017-11-28,0.15143
2017-11-29,0.15142
2017-11-30,0.1515
2017-12-01,0.15147
2017-12-04,0.15139
2017-12-05,0.15124
2017-12-06,0.15127
2017-12-07,0.15117
2017-12-08,0.15118
2017-12-11,0.15126
2017-12-12,0.15103
2017-12-13,0.15134
2017-12-14,0.15142
2017-12-15,0.15141
2017-12-18,0.15125
2017-12-19,0.15149
2017-12-20,0.15232
2017-12-21,0.15164
2017-12-22,0.15224
2017-12-26,0.15293
2017-12-27,0.1527
2017-12-28,0.15317
2017-12-29,0.15361
2018-01-02,0.154
2018-01-03,0.15392
2018-01-04,0.15316
2018-01-05,0.15426
2018-01-08,0.15394
2018-01-09,0.15312
2018-01-10,0.15349
2018-01-11,0.154
2018-01-12,0.15485
2018-01-15,0.15544
2018-01-16,0.15529
2018-01-17,0.15554
2018-01-18,0.15504
2018-01-19,0.15624
2018-01-22,0.15607
2018-01-23,0.15632
2018-01-24,0.15739
2018-01-25,0.1576
2018-01-26,0.158
2018-01-29,0.15788
2018-01-30,0.15797
2018-01-31,0.1587
2018-02-01,0.15902
2018-02-02,0.15884
2018-02-05,0.15859
2018-02-06,0.15912
2018-02-07,0.15834
2018-02-08,0.15767
2018-02-09,0.15849
2018-02-12,0.15829
2018-02-13,0.15789
2018-02-14,0.15819
2018-02-15,0.15881
2018-02-16,0.15849
2018-02-20,0.15754
2018-02-21,0.15794
2018-02-22,0.15766
2018-02-23,0.15804
2018-02-26,0.15876
2018-02-27,0.15805
2018-02-28,0.15807
2018-03-01,0.15758
2018-03-02,0.15765
2018-03-05,0.15769
2018-03-06,0.15819
2018-03-07,0.15815
2018-03-08,0.15775
2018-03-09,0.15808
2018-03-12,0.1581
2018-03-13,0.158
2018-03-14,0.15845
2018-03-15,0.15784
2018-03-16,0.15794
2018-03-19,0.15802
2018-03-20,0.15782
2018-03-21,0.15843
2018-03-22,0.15768
2018-03-23,0.15832
2018-03-26,0.15925
2018-03-27,0.15935
2018-03-28,0.15922
2018-03-29,0.15903
2018-03-30,0.15952
2018-04-02,0.15949
2018-04-03,0.15907
2018-04-04,0.15901
2018-04-05,0.15823
2018-04-06,0.15827
2018-04-09,0.15855
2018-04-10,0.15926
2018-04-11,0.15928
2018-04-12,0.15907
2018-04-13,0.15929
2018-04-16,0.15934
2018-04-17,0.15917
2018-04-18,0.15929
2018-04-19,0.1591
2018-04-20,0.15909
2018-04-23,0.15829
2018-04-24,0.1587
2018-04-25,0.15813
2018-04-26,0.15793
2018-04-27,0.15807
2018-04-30,0.158
2018-05-01,0.15747
2018-05-02,0.15702
2018-05-03,0.15757
2018-05-04,0.1572
2018-05-07,0.15727
2018-05-08,0.15684
2018-05-09,0.15716
2018-05-10,0.15773
2018-05-11,0.15757
2018-05-14,0.15757
2018-05-15,0.1569
2018-05-16,0.1573
2018-05-17,0.15694
2018-05-18,0.15682
2018-05-21,0.15698
2018-05-22,0.15704
2018-05-23,0.15652
2018-05-24,0.15667
2018-05-25,0.15626
2018-05-28,0.15606
2018-05-29,0.1555
2018-05-30,0.15604
2018-05-31,0.15591
2018-06-01,0.15567
2018-06-04,0.15593
2018-06-05,0.15623
2018-06-06,0.15673
2018-06-07,0.15634
2018-06-08,0.15612
2018-06-11,0.15615
2018-06-12,0.15597
2018-06-13,0.15641
2018-06-14,0.15564
2018-06-15,0.15529
2018-06-18,0.15506
2018-06-19,0.15466
2018-06-20,0.15448
2018-06-21,0.1542
2018-06-22,0.15391
2018-06-25,0.1535
2018-06-26,0.1527
2018-06-27,0.1514
2018-06-28,0.15113
2018-06-29,0.15116
2018-07-02,0.1502
2018-07-03,0.15022
2018-07-04,0.15054
2018-07-05,0.15071
2018-07-06,0.15051
2018-07-09,0.15125
2018-07-10,0.151
2018-07-11,0.14934
2018-07-12,0.14984
2018-07-13,0.14957
2018-07-16,0.14968
2018-07-17,0.14926
2018-07-18,0.14905
2018-07-19,0.14806
2018-07-20,0.14804
2018-07-23,0.14735
2018-07-24,0.14709
2018-07-25,0.14807
2018-07-26,0.14686
2018-07-27,0.14665
2018-07-30,0.14671
2018-07-31,0.14734
2018-08-01,0.1464
2018-08-02,0.14565
2018-08-03,0.14605
2018-08-06,0.14602
2018-08-07,0.14679
2018-08-08,0.14672
2018-08-09,0.14613
2018-08-10,0.14586
2018-08-13,0.14527
2018-08-14,0.14543
2018-08-15,0.1445
2018-08-16,0.14572
2018-08-17,0.14611
2018-08-20,0.14617
2018-08-21,0.14642
2018-08-22,0.14606
2018-08-23,0.14523
2018-08-24,0.14645
2018-08-27,0.1469
2018-08-28,0.14691
2018-08-29,0.14666
2018-08-30,0.14599
2018-08-31,0.14654
2018-09-03,0.14656
2018-09-04,0.14655
2018-09-05,0.14685
2018-09-06,0.14638
2018-09-07,0.14583
2018-09-10,0.14603
2018-09-11,0.14583
2018-09-12,0.14656
2018-09-13,0.14628
2018-09-14,0.14547
2018-09-17,0.14583
2018-09-18,0.14619
2018-09-19,0.14609
2018-09-20,0.14626
2018-09-21,0.1461
2018-09-24,0.14593
2018-09-25,0.14572
2018-09-26,0.14591
2018-09-27,0.14556
2018-09-28,0.1456
2018-10-01,0.14536
2018-10-02,0.14546
2018-10-03,0.14541
2018-10-04,0.14524
2018-10-05,0.14509
2018-10-08,0.14486
2018-10-09,0.14491
2018-10-10,0.14463
2018-10-11,0.14599
2018-10-12,0.14466
2018-10-15,0.14462
2018-10-16,0.14482
2018-10-17,0.14449
2018-10-18,0.14435
2018-10-19,0.14437
2018-10-22,0.14433
2018-10-23,0.14439
2018-10-24,0.14418
2018-10-25,0.14398
2018-10-26,0.14402
2018-10-29,0.14372
2018-10-30,0.1437
2018-10-31,0.14356
2018-11-01,0.14459
2018-11-02,0.14489
2018-11-05,0.14486
2018-11-06,0.14486
2018-11-07,0.14486
2018-11-08,0.14439
2018-11-09,0.14414
2018-11-12,0.14371
2018-11-13,0.14406
2018-11-14,0.14419
2018-11-15,0.14438
2018-11-16,0.14442
2018-11-19,0.14432
2018-11-20,0.14418
2018-11-21,0.14447
2018-11-22,0.14432
2018-11-23,0.14401
2018-11-26,0.14389
2018-11-27,0.14378
2018-11-28,0.14411
2018-11-29,0.14427
2018-11-30,0.14395
2018-12-03,0.14525
2018-12-04,0.14598
2018-12-05,0.14596
2018-12-06,0.14563
2018-12-07,0.14543
2018-12-10,0.14503
2018-12-11,0.14488
2018-12-12,0.14537
2018-12-13,0.14557
2018-12-14,0.14507
2018-12-17,0.14507
2018-12-18,0.1453
2018-12-19,0.14501
2018-12-20,0.14535
2018-12-21,0.14469
2018-12-24,0.14516
2018-12-26,0.14533
2018-12-27,0.14565
2018-12-28,0.14543
2019-01-02,0.14591
2019-01-03,0.14578
2019-01-04,0.14611
2019-01-07,0.14625
2019-01-08,0.14614
2019-01-09,0.14679
2019-01-10,0.14731
2019-01-11,0.14814
2019-01-14,0.1481
2019-01-15,0.14786
2019-01-16,0.14828
2019-01-17,0.14785
2019-01-18,0.14742
2019-01-21,0.14744
2019-01-22,0.1471
2019-01-23,0.14747
2019-01-24,0.1475
2019-01-25,0.14828
2019-01-28,0.14847
2019-01-29,0.14859
2019-01-30,0.14926
2019-01-31,0.14937
2019-02-01,0.14849
2019-02-04,0.14833
2019-02-05,0.14853
2019-02-06,0.14822
2019-02-07,0.14805
2019-02-08,0.14806
2019-02-11,0.14765
2019-02-12,0.14789
2019-02-13,0.14778
2019-02-14,0.14786
2019-02-15,0.14808
2019-02-18,0.14793
2019-02-19,0.14845
2019-02-20,0.14885
2019-02-21,0.14883
2019-02-22,0.14934
2019-02-25,0.14953
2019-02-26,0.14961
2019-02-27,0.14991
2019-02-28,0.14927
2019-03-01,0.149
2019-03-04,0.14906
2019-03-05,0.14925
2019-03-06,0.14907
2019-03-07,0.14866
2019-03-08,0.14871
2019-03-11,0.14873
