,EURUSD
2017-01-10,1.05542
2017-01-11,1.05832
2017-01-12,1.06125
2017-01-13,1.06432
2017-01-16,1.06007
2017-01-17,1.0713
2017-01-18,1.0631
2017-01-19,1.06641
2017-01-20,1.07023
2017-01-23,1.07644
2017-01-24,1.07317
2017-01-25,1.072
2017-01-26,1.06814
2017-01-27,1.06988
2017-01-30,1.0696
2017-01-31,1.07976
2017-02-01,1.07689
2017-02-02,1.07585
2017-02-03,1.079
2017-02-06,1.07494
2017-02-07,1.06831
2017-02-08,1.0699
2017-02-09,1.06547
2017-02-10,1.06285
2017-02-13,1.0599
2017-02-14,1.05781
2017-02-15,1.05988
2017-02-16,1.06738
2017-02-17,1.0608
2017-02-20,1.06135
2017-02-21,1.05368
2017-02-22,1.05581
2017-02-23,1.05818
2017-02-24,1.05635
2017-02-27,1.0587
2017-02-28,1.0576
2017-03-01,1.05472
2017-03-02,1.05069
2017-03-03,1.06095
2017-03-06,1.05823
2017-03-07,1.05666
2017-03-08,1.05407
2017-03-09,1.05766
2017-03-10,1.06855
2017-03-13,1.0654
2017-03-14,1.06086
2017-03-15,1.07368
2017-03-16,1.0772
2017-03-17,1.074
2017-03-20,1.07365
2017-03-21,1.08065
2017-03-22,1.07928
2017-03-23,1.07835
2017-03-24,1.08331
2017-03-27,1.08635
2017-03-28,1.08131
2017-03-29,1.07673
2017-03-30,1.0682
2017-03-31,1.06605
2017-04-03,1.06681
2017-04-04,1.06792
2017-04-05,1.0667
2017-04-06,1.06425
2017-04-07,1.05837
2017-04-10,1.05939
2017-04-11,1.06057
2017-04-12,1.06687
2017-04-13,1.06163
2017-04-14,1.0609
2017-04-17,1.06457
2017-04-18,1.07301
2017-04-19,1.07107
2017-04-20,1.07157
2017-04-21,1.08978
2017-04-24,1.0865
2017-04-25,1.09275
2017-04-26,1.09052
2017-04-27,1.08738
2017-04-28,1.08974
2017-05-01,1.08978
2017-05-02,1.0929
2017-05-03,1.08843
2017-05-04,1.09792
2017-05-05,1.10127
2017-05-08,1.09221
2017-05-09,1.0879
2017-05-10,1.08674
2017-05-11,1.08621
2017-05-12,1.09328
2017-05-15,1.09769
2017-05-16,1.10806
2017-05-17,1.11655
2017-05-18,1.11006
2017-05-19,1.12013
2017-05-22,1.12365
2017-05-23,1.11847
2017-05-24,1.12141
2017-05-25,1.1209
2017-05-26,1.1176
2017-05-29,1.11519
2017-05-30,1.11789
2017-05-31,1.12435
2017-06-01,1.12139
2017-06-02,1.12791
2017-06-05,1.12543
2017-06-06,1.12781
2017-06-07,1.12592
2017-06-08,1.12052
2017-06-09,1.12056
2017-06-12,1.12056
2017-06-13,1.12086
2017-06-14,1.12175
2017-06-15,1.11475
2017-06-16,1.11985
2017-06-19,1.11501
2017-06-20,1.11343
2017-06-21,1.1168
2017-06-22,1.11517
2017-06-23,1.11944
2017-06-26,1.11831
2017-06-27,1.13347
2017-06-28,1.1376
2017-06-29,1.14409
2017-06-30,1.14218
2017-07-03,1.1364
2017-07-04,1.13471
2017-07-05,1.13509
2017-07-06,1.14216
2017-07-07,1.13993
2017-07-10,1.13976
2017-07-11,1.14648
2017-07-12,1.14128
2017-07-13,1.14002
2017-07-14,1.14702
2017-07-17,1.14789
2017-07-18,1.15537
2017-07-19,1.1518
2017-07-20,1.16329
2017-07-21,1.16674
2017-07-24,1.1637
2017-07-25,1.16482
2017-07-26,1.1747
2017-07-27,1.16754
2017-07-28,1.17543
2017-07-31,1.1836
2017-08-01,1.1806
2017-08-02,1.1855
2017-08-03,1.18708
2017-08-04,1.17758
2017-08-07,1.17955
2017-08-08,1.17506
2017-08-09,1.17598
2017-08-10,1.17724
2017-08-11,1.18244
