Date,BTC_Price,BTC_Volume,USD/CNY_Price,USD/CNY_PCT_CHANGE,USD/EUR_Price,USD/EUR_PCT_CHANGE,USD/JPY_Price,USD/JPY_PCT_CHANGE
2017-01-13,823.984009,168968000,6.9005,0.13,0.9395,-0.3,114.53,-0.17
2017-01-14,818.4119870000001,93063296,6.9005,0.0,0.9395,0.0,114.53,0.0
2017-01-15,821.7979740000001,71013600,6.9005,0.0,0.9395,0.0,114.53,0.0
2017-01-16,831.533997,82755200,6.9009,0.01,0.9432,0.39,114.2,-0.29
2017-01-17,907.9379880000001,155095008,6.8546,-0.67,0.9334,-1.04,112.64,-1.37
2017-01-18,886.6179810000001,225676992,6.8389999999999995,-0.23,0.9406,0.77,114.67,1.8
2017-01-19,899.0729980000001,105625000,6.8712,0.47,0.9377,-0.31,114.87,0.17
2017-01-20,895.026001,86728400,6.8765,0.08,0.9344,-0.35,114.62,-0.22
2017-01-21,921.789001,111158000,6.8765,0.0,0.9344,0.0,114.62,0.0
2017-01-22,924.6729740000001,116573000,6.8765,0.0,0.9344,0.0,114.62,0.0
2017-01-23,921.012024,73588600,6.854,-0.33,0.929,-0.58,112.7,-1.68
2017-01-24,892.6870119999999,111349000,6.859,0.07,0.9319,0.31,113.8,0.98
2017-01-25,901.5419919999999,120831000,6.8836,0.36,0.9304,-0.16,113.28,-0.46
2017-01-26,917.585999,131958000,6.8816,-0.03,0.9361,0.61,114.53,1.1
2017-01-27,919.75,125594000,6.8816,0.0,0.9346,-0.16,115.08,0.48
2017-01-28,921.590027,68979600,6.8816,0.0,0.9346,0.0,115.08,0.0
2017-01-29,919.495972,60851700,6.8816,0.0,0.9346,0.0,115.08,0.0
2017-01-30,920.3820189999999,78227296,6.8816,0.0,0.9351,0.05,113.78,-1.13
2017-01-31,970.403015,164582000,6.8816,0.0,0.9261,-0.96,112.8,-0.86
2017-02-01,989.02301,150110000,6.8816,0.0,0.9286,0.27,113.25,0.4
2017-02-02,1011.7999880000001,145820992,6.8816,0.0,0.9295,0.1,112.81,-0.39
